# upstream	https://github.com/steipete/CodexBar.git
# base	f74117aeb7a9ee02a78c0f08ca354ff26b2292e0
# target	d94c71acfc00fc09bef284d888000042ead66d79
# columns	commit	disposition	finding	evidence
f74117aeb7a9ee02a78c0f08ca354ff26b2292e0	non-linux	docs: credit #3082 changelog entry	upstream documentation, localization, or macOS release metadata
4394708cc516b41e8276b62210147cbe123d36d7	already-covered	Fix Codex CLI approval policy (#3118)	native C/GLib provider, runtime, or scanner contract reviewed in linux/src and linux/tests
3abd3e3956250c8f760f67291ae640fd77ef391d	non-linux	docs: credit #3118 changelog entry	upstream documentation, localization, or macOS release metadata
5506a78a4754c3527ed00331d3bf47dbe69e454f	ported	fix(commandcode): Add support for individual-pro-v1 plan ($80/mo credits) (#3116)	linux/src/web_providers4.c; linux/tests/test_web_providers4.c
961d7fd104488458c27d2989b8cbf75b6627f288	ported	fix(alibaba): tolerate the Personal usage gateway's empty-Success responses (#3128)	linux/src/web_providers5.c; linux/tests/test_web_providers5.c
e85543ecf0f16709299263e3de7efb8fbf544041	non-linux	docs: credit #3116 and #3128 changelog entries	upstream documentation, localization, or macOS release metadata
416ef870aaf0d93cf5cb8ca7dde0f22752727095	already-covered	fix(claude): migrate email-keyed iCloud snapshots to slot keys (#3111)	native C/GLib provider, runtime, or scanner contract reviewed in linux/src and linux/tests
5bc78a2c309b4780cbb78ebd6cabcc601f93c9fc	already-covered	fix(codex): isolate profile-scoped token cost snapshots (#3132)	native C/GLib provider, runtime, or scanner contract reviewed in linux/src and linux/tests
c0a17996b164a69a5dc14e05efddce9f8c464930	non-linux	docs: credit #3111 changelog entry	upstream documentation, localization, or macOS release metadata
1cf98b330a7928ef743185f2a9057831b65ad78a	already-covered	perf(spend): parallelize loads and memoize model build (#3105)	native C/GLib provider, runtime, or scanner contract reviewed in linux/src and linux/tests
00faa6ed477a0b41c0f871c4ce0f312c1441635f	non-linux	docs: credit #3105 changelog entry	upstream documentation, localization, or macOS release metadata
df18670d6148c53389275043ccade5a48ca3cb20	already-covered	Persist Codex priority-turn scan cursor across relaunches (#3130)	native C/GLib provider, runtime, or scanner contract reviewed in linux/src and linux/tests
95afa63a5e8c060a6ffd4749d7f5155e3a67951f	non-linux	docs: credit #3130 changelog entry	upstream documentation, localization, or macOS release metadata
d2ef26296a45de3aa05895495cb7684ef46f7c1b	already-covered	fix(codex): show Business monthly credit on stacked cards (#3112)	native C/GLib provider, runtime, or scanner contract reviewed in linux/src and linux/tests
5c7109524790baae5c2c51d47ecd07392088ab67	non-linux	Fix menu bar layout editor drag-and-drop (#3121)	AppKit menu-bar presentation has no native Linux analogue
c87c35becbbd95b4a0b3167aff3533d16398e2b4	already-covered	Add Grok Bot Support to Cursor Card (#3127)	native C/GLib provider, runtime, or scanner contract reviewed in linux/src and linux/tests
3e01a600d7ab7029121c836219329469234dd44b	non-linux	docs: credit #3112 #3121 #3127 changelog entries	upstream documentation, localization, or macOS release metadata
51ce63f3a2336d2790d8b25a31863e726db73898	non-linux	test: repair gatekeeper anchors after #3121; dedup #3112 changelog entry	upstream documentation, localization, or macOS release metadata
27c7f334e3c46c96ff8c063afbe0c7944ba5e0b7	non-linux	chore: finalize 0.54.1 changelog and bump build to 128	upstream documentation, localization, or macOS release metadata
d6d281e898a0691685d04640bb40d1ff2c3390ea	non-linux	docs: update appcast for 0.54.1	upstream documentation, localization, or macOS release metadata
4b14ed9c57d3506d1455b2736a1d1a8ff2b9c718	non-linux	chore: open 0.54.2 unreleased changelog section	upstream documentation, localization, or macOS release metadata
6ef5c5a9a20c754e3cf8973a0ad536c7caf7e9cf	already-covered	Stop re-merging the Codex plan-utilization history with itself on every refresh (#3141)	native C/GLib provider, runtime, or scanner contract reviewed in linux/src and linux/tests
07bd85a5e6e93a00cae5c6365794a5f18c6bcafd	already-covered	Fix Codex day cost blanked by trace-only priority turns (#3150)	native C/GLib provider, runtime, or scanner contract reviewed in linux/src and linux/tests
63dc1cd520f08f0112bea9f123fc623e2ad334f5	non-linux	docs: credit #3141 and #3150 changelog entries	upstream documentation, localization, or macOS release metadata
